date,fbs_team,opponent,home_away
2026-09-11,Miami,Florida A&M,home
2026-09-11,NC State,Richmond,home
2026-09-11,Louisville,Villanova,home
2026-09-11,Virginia,Norfolk State,home
2026-09-12,Liberty,Gardner-Webb,home
2026-09-12,North Carolina,East Tennessee State,home
2026-09-12,Kent State,Wofford,home
2026-09-12,James Madison,Wagner,home
2026-09-12,Indiana,Howard,home
2026-09-12,Miami (OH),Holy Cross,home
2026-09-12,Central Michigan,Colgate,home
2026-09-12,West Virginia,UT Martin,home
2026-09-12,Ball State,Stony Brook,home
2026-09-12,Colorado,Weber State,home
2026-09-12,Massachusetts,Sacred Heart,home
2026-09-12,Akron,Robert Morris,home
2026-09-12,Toledo,Central Connecticut,home
2026-09-12,Troy,Alabama State,home
2026-09-12,SMU,UC Davis,home
2026-09-12,Wyoming,Northern Colorado,home
2026-09-12,New Mexico,Mercyhurst,home
2026-09-12,Florida,Campbell,home
2026-09-12,Western Michigan,Monmouth,home
2026-09-12,Northern Illinois,Illinois State,home
2026-09-12,Houston,Southern,home
2026-09-12,Arkansas State,West Georgia,home
2026-09-12,Colorado State,Southern Utah,home
2026-09-12,Missouri State,Lindenwood,home
2026-09-12,South Carolina,Towson,home
2026-09-12,Cincinnati,Western Carolina,home
2026-09-12,Wisconsin,Western Illinois,home
2026-09-12,Coastal Carolina,Fordham,home
2026-09-13,TCU,Grambling,home
2026-09-13,Baylor,Prairie View A&M,home
2026-09-13,San José State,Cal Poly,home
2026-09-13,UTEP,Texas Southern,home
2026-09-13,Nevada,Montana State,home
