season,home,away,actual_margin,home_won,market_margin,sp_margin,fpi_margin,elo_margin,blend_margin
2023,Notre Dame,Navy,39,True,20.5,17.5,16.058,11.630090653558433,15.062696884519477
2023,Jacksonville State,UTEP,3,True,-1.0,,,8.738130289305762,8.738130289305762
2023,New Mexico State,Massachusetts,-11,False,8.0,17.4,11.794999999999998,13.553850614630667,14.249616871543553
2023,San Diego State,Ohio,7,True,3.0,2.6999999999999993,3.0760000000000005,3.593129941736418,3.1230433139121394
2023,Vanderbilt,Hawai'i,7,True,17.75,22.5,15.174,6.474330136375251,14.716110045458416
2023,USC,San José State,28,True,30.5,25.7,21.535,11.619330483944594,19.618110161314863
2023,Louisiana Tech,Florida International,5,True,10.0,10.2,14.664,10.713810422772388,11.85927014092413
2023,UCF,Kent State,50,True,35.0,25.9,16.416,9.026250308769644,17.11408343625655
2023,UConn,NC State,-10,False,-14.5,-18.9,-18.778,-8.87835090077167,-15.518783633590557
2023,Minnesota,Nebraska,3,True,7.5,19.7,14.573,9.561330344916856,14.611443448305616
2023,Utah,Florida,13,True,5.5,11.299999999999999,14.091000000000001,12.483690542336245,12.624896847445413
2023,Miami,Miami (OH),35,True,16.5,12.5,13.765,1.5762898054892354,9.28042993516308
2023,Michigan State,Central Michigan,24,True,14.0,17.7,18.917,10.055250378283514,15.557416792761174
2023,Georgia Tech,Louisville,-5,False,-7.5,-20.8,-14.195,-12.32503096472443,-15.773343654908146
2023,Hawai'i,Stanford,-13,False,-2.75,-15.0,-13.091,-0.07011030573295463,-9.387036768577651
2023,Michigan,East Carolina,27,True,35.5,33.4,24.345000000000002,20.221771065080535,25.988923688360178
2023,TCU,Colorado,-3,False,20.5,47.2,33.946,23.72037130142769,34.9554571004759
2023,Liberty,Bowling Green,10,True,9.0,19.1,14.777999999999999,11.2488904589196,15.042296819639867
2023,Boston College,Northern Illinois,-3,False,8.5,6.4,9.262,3.757769952858637,6.473256650952879
2023,Kentucky,Ball State,30,True,26.0,30.4,21.417,11.989770508969587,21.26892350298986
2023,Iowa,Utah State,10,True,23.75,28.5,21.398,14.459370675802871,21.45245689193429
2023,Tennessee,Virginia,36,True,28.0,34.2,26.685000000000002,18.95657114849718,26.61385704949906
2023,SMU,Louisiana Tech,24,True,20.5,25.0,18.006999999999998,13.759650628533441,18.922216876177814
2023,Purdue,Fresno State,-4,False,4.0,6.9,3.0570000000000004,-5.050470642180079,1.635509785939974
2023,Oklahoma,Arkansas State,73,True,36.0,30.9,24.497999999999998,17.83449090380836,24.410830301269453
2023,Temple,Akron,3,True,9.75,12.999999999999998,8.045,3.0580499055892063,8.034349968529735
2023,Indiana,Ohio State,-20,False,-30.0,-35.7,-27.461000000000002,-17.89239150971316,-27.017797169904387
2023,Wisconsin,Buffalo,21,True,28.0,20.0,18.357,12.11325051731125,16.82341683910375
2023,Auburn,Massachusetts,45,True,35.0,37.9,32.896,21.538891154058287,30.778297051352762
2023,Washington,Boise State,37,True,14.5,12.5,10.174999999999999,4.663290014030841,9.11276333801028
2023,Texas,Rice,27,True,35.25,40.8,35.957,26.478091487724857,34.41169716257495
2023,Western Kentucky,South Florida,17,True,13.25,21.2,18.058,18.78117096776112,19.346390322587038
2023,North Texas,California,-37,False,-6.5,4.0,0.4870000000000001,4.786770022372505,3.091256674124169
2023,USC,Nevada,52,True,38.0,43.8,32.129,19.357411006688885,31.762137002229633
2023,Texas A&M,New Mexico,42,True,38.0,38.5,28.776,19.769011034494433,29.015003678164806
2023,Baylor,Texas State,-11,False,26.75,25.7,24.413,16.51737081483061,22.210123604943536
