season,team,outcome_win_pct,outcome_ats_cover_pct,outcome_avg_margin,prior_off_ppa,prior_def_ppa,prior_net_ppa,prior_off_successRate,prior_def_successRate,prior_net_successRate,prior_off_havoc_total,prior_def_havoc_total,prior_net_havoc,prior_sp_rating,prior_sp_off_rating,prior_sp_def_rating,prior_win_pct,prior_ats_cover_pct,prior_avg_margin,incoming_ret_percentPPA,incoming_ret_usage,incoming_recruit_points,incoming_talent
2023,Air Force,0.6923076923076923,0.4166666666666667,9.692307692307692,0.28776433339071095,0.08254078263829895,0.205223550752412,0.49347568208778175,0.390625,0.10285068208778175,0.099,0.193,0.094,3.9,16.3,12.3,0.7692307692307693,0.5384615384615384,14.461538461538462,0.358,0.267,130.58,0.0
2023,Akron,0.16666666666666666,0.5,-11.75,0.07319895643843846,0.24398792754678572,-0.17078897110834726,0.40991535671100365,0.4416445623342175,-0.03172920562321385,0.224,0.151,-0.07300000000000001,-23.4,16.7,38.5,0.16666666666666666,0.6363636363636364,-11.75,0.727,0.761,121.18,445.02
2023,Alabama,0.8571428571428571,0.6428571428571429,15.0,0.298576334062069,0.02186610876444248,0.2767102252976265,0.47268673355629875,0.3775055679287305,0.09518116562756823,0.134,0.179,0.044999999999999984,30.3,42.9,14.2,0.8461538461538461,0.5384615384615384,22.923076923076923,0.423,0.409,328.0,1015.43
2023,App State,0.6428571428571429,0.46153846153846156,6.214285714285714,0.2561197762970913,0.17887160936725363,0.07724816692983769,0.45664739884393063,0.4120603015075377,0.044587097336392933,0.108,0.168,0.06000000000000001,1.7,32.9,29.8,0.5,0.25,8.166666666666666,0.474,0.392,161.99,517.56
2023,Arizona,0.7692307692307693,0.8461538461538461,13.538461538461538,0.2549665014847535,0.31730315733812975,-0.06233665585337622,0.4728877679697352,0.5302663438256658,-0.05737857585593065,0.159,0.13,-0.028999999999999998,-3.2,37.6,41.1,0.4166666666666667,0.5,-5.666666666666667,0.846,0.924,204.72,687.01
2023,Arizona State,0.25,0.5,-14.083333333333334,0.22573213597958572,0.23884716049134352,-0.013115024511757806,0.44501278772378516,0.4650602409638554,-0.020047453240070234,0.162,0.145,-0.017000000000000015,-4.1,30.5,35.7,0.25,0.4166666666666667,-5.333333333333333,0.612,0.411,201.23,681.32
2023,Arkansas,0.3333333333333333,0.4166666666666667,-1.3333333333333333,0.2171703238462489,0.24203832565166356,-0.024868001805414652,0.4580712788259958,0.43147751605995716,0.026593762766038642,0.153,0.157,0.0040000000000000036,12.0,38.3,26.3,0.5384615384615384,0.5384615384615384,1.9230769230769231,0.581,0.777,228.3,730.93
2023,Arkansas State,0.46153846153846156,0.5,-3.3076923076923075,0.09468889563080822,0.21028047343654835,-0.11559157780574013,0.36304909560723514,0.4280532043530834,-0.06500410874584828,0.212,0.177,-0.035,-13.0,23.7,38.5,0.25,0.5833333333333334,-6.416666666666667,0.179,0.221,168.05,487.4
2023,Army,0.5,0.45454545454545453,-0.5833333333333334,0.23729609818827077,0.15629088598760765,0.08100521220066312,0.44813278008298757,0.45964432284541723,-0.01151154276242966,0.113,0.124,0.010999999999999996,-1.5,24.6,25.3,0.5,0.5833333333333334,6.083333333333333,0.5,0.485,110.02,0.0
2023,Auburn,0.46153846153846156,0.46153846153846156,3.5384615384615383,0.16190924011343946,0.1650742486459748,-0.003165008532535346,0.3843236409608091,0.42303172737955347,-0.03870808641874435,0.185,0.15,-0.035,5.1,32.6,27.9,0.4166666666666667,0.4166666666666667,-4.75,0.787,0.657,242.9,770.94
