game_id,date,away,home,neutral,model_pick,model_margin,home_win_prob,home_blended_rank,away_blended_rank,in_season_weight,home_in_season_margin,away_in_season_margin,market_home_margin,market_note,model_vs_market_gap,model_total,market_total,total_gap,disagreement_team,disagreement_value
401869941,2026-09-24,Liberty,Coastal Carolina,False,Liberty,7.7,0.339,124,95,0.3,-9.83,4.57,-2.5,"2 book(s), median +2.5",-5.2,54.2,50.5,3.7,,
401862778,2026-09-25,Navy,UAB,False,Navy,8.2,0.329,127,70,0.3,-12.27,-12.11,-6.5,"2 book(s), median +6.5",-1.7,54.2,50.5,3.7,,
401862779,2026-09-25,Army,Temple,False,Temple,0.5,0.511,103,86,0.3,-4.14,-6.32,-4.0,"2 book(s), median +4.0",4.5,54.0,48.5,5.5,,
401856805,2026-09-26,Sam Houston,Texas Tech,False,Texas Tech,40.2,0.985,6,136,0.3,5.92,-12.05,34.5,"2 book(s), median -34.5",5.7,53.0,56.0,-3.0,,
401858238,2026-09-26,Central Michigan,Miami,False,Miami,35.3,0.972,8,114,0.0,,-12.77,41.0,"2 book(s), median -41.0",-5.7,50.8,53.5,-2.7,,
401858467,2026-09-26,Notre Dame,Purdue,False,Notre Dame,27.3,0.069,84,3,0.3,-5.84,25.06,-28.0,"2 book(s), median +28.0",0.7,52.9,57.5,-4.6,,
401858465,2026-09-26,Illinois,Ohio State,False,Ohio State,27.0,0.929,1,35,0.3,29.07,-1.8,26.5,"2 book(s), median -26.5",0.5,52.4,54.5,-2.1,,
401862785,2026-09-26,South Florida,Bowling Green,False,South Florida,19.9,0.14,120,65,0.3,-42.7,-0.95,-18.0,"2 book(s), median +18.0",-1.9,51.9,49.0,2.9,,
401864572,2026-09-26,App State,NC State,False,NC State,18.4,0.841,44,109,0.0,-2.62,,14.0,"2 book(s), median -14.0",4.4,53.8,55.5,-1.7,,
401862784,2026-09-26,Southern Miss,Tulane,False,Tulane,18.0,0.836,73,117,0.3,-6.47,-31.61,17.5,"2 book(s), median -17.5",0.5,52.9,52.5,0.4,Southern Miss,0.92
401858239,2026-09-26,Delaware,Virginia,False,Virginia,16.9,0.82,36,104,0.3,6.65,-2.25,19.5,"2 book(s), median -19.5",-2.6,52.6,52.5,0.1,,
401858461,2026-09-26,Northwestern,Indiana,False,Indiana,16.5,0.815,4,41,0.3,29.98,29.39,20.0,"2 book(s), median -20.0",-3.5,50.9,50.0,0.9,,
401864576,2026-09-26,South Alabama,Kentucky,False,Kentucky,16.2,0.811,57,111,0.3,10.04,-4.24,20.5,"2 book(s), median -20.5",-4.3,52.6,54.5,-1.9,,
401856806,2026-09-26,Houston,Georgia Southern,False,Houston,16.2,0.189,110,32,0.3,-3.56,11.69,-17.5,"2 book(s), median +17.5",1.3,53.6,56.5,-2.9,,
401864579,2026-09-26,New Mexico,New Mexico State,False,New Mexico,14.1,0.222,125,68,0.3,-6.72,13.12,-11.5,"2 book(s), median +11.5",-2.6,52.1,48.5,3.6,,
401860896,2026-09-26,Colorado State,UTSA,False,UTSA,13.9,0.774,61,112,0.3,4.73,-1.83,14.0,"2 book(s), median -14.0",-0.1,53.0,57.5,-4.5,,
401856700,2026-09-26,Oklahoma,Georgia,False,Georgia,13.9,0.776,5,12,0.3,38.64,15.61,13.5,"2 book(s), median -13.5",0.4,51.3,44.0,7.3,,
401858466,2026-09-26,Wisconsin,Penn State,False,Penn State,13.8,0.773,21,53,0.3,25.43,14.64,10.0,"2 book(s), median -10.0",3.8,50.0,44.0,6.0,Wisconsin,0.81
401856813,2026-09-26,Colorado,Baylor,False,Baylor,12.9,0.758,42,74,0.3,10.0,-8.26,9.0,"2 book(s), median -9.0",3.9,54.0,55.5,-1.5,Colorado,0.68
401858243,2026-09-26,Wake Forest,Louisville,False,Louisville,11.9,0.742,31,48,0.3,18.28,3.46,12.5,"2 book(s), median -12.5",-0.6,50.8,57.5,-6.7,,
401856696,2026-09-26,South Carolina,Alabama,False,Alabama,11.7,0.737,11,25,0.3,29.78,14.65,12.5,"2 book(s), median -12.5",-0.8,50.2,54.5,-4.3,,
