date,fbs_team,opponent,home_away
2026-09-19,Oregon,Portland State,home
2026-09-19,Georgia Tech,Mercer,home
2026-09-19,Illinois,Southern Illinois,home
2026-09-19,Boston College,Maine,home
2026-09-19,California,Wagner,home
2026-09-19,Washington State,Duquesne,home
2026-09-19,Massachusetts,Stonehill,home
2026-09-19,Iowa,Northern Iowa,home
2026-09-19,UL Monroe,SE Louisiana,home
2026-09-19,Oklahoma State,Murray State,home
2026-09-19,South Florida,Delaware State,home
2026-09-19,Sam Houston,Nicholls,home
2026-09-19,Memphis,UT Martin,home
2026-09-19,Washington,Eastern Washington,home
2026-09-19,Nebraska,North Dakota,home
2026-09-20,Tulsa,East Texas A&M,home
2026-09-20,Boise State,South Dakota,home
2026-09-20,Oregon State,Montana,home
