season,team,conference,off_ppa,off_successRate,off_explosiveness,off_havoc_total,off_lineYards,off_stuffRate,def_ppa,def_successRate,def_explosiveness,def_havoc_total,def_lineYards,def_stuffRate,net_ppa,net_successRate,net_havoc,sp_rating,sp_ranking,sp_off_rating,sp_def_rating,sp_st_rating,ret_percentPPA,ret_usage,recruit_rank,recruit_points,talent,games,wins,losses,win_pct,avg_margin,ats_games,ats_cover_pct
2022,Air Force,Mountain West,0.28776433339071095,0.49347568208778175,1.072864185255786,0.099,3.601740294511379,0.09236947791164658,0.08254078263829895,0.390625,1.1356227656686826,0.193,3.091641791044776,0.14328358208955225,0.205223550752412,0.10285068208778175,0.094,3.9,58.0,16.3,12.3,-0.1,0.733,0.861,114.0,110.12,0.0,13.0,10.0,3.0,0.7692307692307693,14.461538461538462,13.0,0.5384615384615384
2022,Akron,Mid-American,0.07319895643843846,0.40991535671100365,1.1627215909732214,0.224,3.0475409836065572,0.17049180327868851,0.24398792754678572,0.4416445623342175,1.319360845258805,0.151,3.097799511002445,0.1687041564792176,-0.17078897110834726,-0.03172920562321385,-0.07300000000000001,-23.4,127.0,16.7,38.5,-1.6,0.203,0.467,127.0,81.7,456.15,12.0,2.0,10.0,0.16666666666666666,-11.75,11.0,0.6363636363636364
2022,Alabama,SEC,0.298576334062069,0.47268673355629875,1.3564059739988616,0.134,2.9851598173515983,0.19406392694063926,0.02186610876444248,0.3775055679287305,1.1342142444222185,0.179,2.829342723004695,0.22065727699530516,0.2767102252976265,0.09518116562756823,0.044999999999999984,30.3,4.0,42.9,14.2,1.6,0.552,0.586,2.0,322.25,1016.79,13.0,11.0,2.0,0.8461538461538461,22.923076923076923,13.0,0.5384615384615384
2022,App State,Sun Belt,0.2561197762970913,0.45664739884393063,1.285968330492176,0.108,3.3989384288747346,0.12738853503184713,0.17887160936725363,0.4120603015075377,1.2832488424794455,0.168,3.005037783375315,0.15365239294710328,0.07724816692983769,0.044587097336392933,0.06000000000000001,1.7,65.0,32.9,29.8,-1.4,0.555,0.673,83.0,144.67,456.66,12.0,6.0,6.0,0.5,8.166666666666666,12.0,0.25
2022,Arizona,Pac-12,0.2549665014847535,0.4728877679697352,1.3599636094276408,0.159,3.306769230769231,0.1753846153846154,0.31730315733812975,0.5302663438256658,1.1339302907233495,0.13,3.642789598108747,0.14420803782505912,-0.06233665585337622,-0.05737857585593065,-0.028999999999999998,-3.2,78.0,37.6,41.1,0.2,0.563,0.825,22.0,224.38,652.06,12.0,5.0,7.0,0.4166666666666667,-5.666666666666667,12.0,0.5
2022,Arizona State,Pac-12,0.22573213597958572,0.44501278772378516,1.2394278651078066,0.162,3.1985915492957746,0.18309859154929578,0.23884716049134352,0.4650602409638554,1.2134533267840169,0.145,3.4422330097087377,0.1407766990291262,-0.013115024511757806,-0.020047453240070234,-0.017000000000000015,-4.1,82.0,30.5,35.7,1.1,0.139,0.134,103.0,120.17,670.18,12.0,3.0,9.0,0.25,-5.333333333333333,12.0,0.4166666666666667
2022,Arkansas,SEC,0.2171703238462489,0.4580712788259958,1.2388333972978591,0.153,3.3025996533795494,0.1854419410745234,0.24203832565166356,0.43147751605995716,1.395004315073056,0.157,3.060485651214128,0.16997792494481237,-0.024868001805414652,0.026593762766038642,0.0040000000000000036,12.0,29.0,38.3,26.3,0.0,0.681,0.744,28.0,217.69,741.06,13.0,7.0,6.0,0.5384615384615384,1.9230769230769231,13.0,0.5384615384615384
2022,Arkansas State,Sun Belt,0.09468889563080822,0.36304909560723514,1.3187191915804068,0.212,2.3005763688760807,0.2824207492795389,0.21028047343654835,0.4280532043530834,1.2961658615401117,0.177,2.882391304347826,0.20217391304347826,-0.11559157780574013,-0.06500410874584828,-0.035,-13.0,106.0,23.7,38.5,1.8,0.203,0.252,67.0,166.63,471.65,12.0,3.0,9.0,0.25,-6.416666666666667,12.0,0.5833333333333334
2022,Army,FBS Independents,0.23729609818827077,0.44813278008298757,1.107947211407377,0.113,3.4323051948051946,0.08928571428571429,0.15629088598760765,0.45964432284541723,1.086478928026755,0.124,3.387248322147651,0.1297539149888143,0.08100521220066312,-0.01151154276242966,0.010999999999999996,-1.5,73.0,24.6,25.3,-0.9,0.618,0.525,158.0,18.34,17.27,12.0,6.0,6.0,0.5,6.083333333333333,12.0,0.5833333333333334
2022,Auburn,SEC,0.16190924011343946,0.3843236409608091,1.3956854425607679,0.185,2.9684782608695652,0.21739130434782608,0.1650742486459748,0.42303172737955347,1.203961345298555,0.15,3.087440758293839,0.17535545023696683,-0.003165008532535346,-0.03870808641874435,-0.035,5.1,54.0,32.6,27.9,0.5,0.452,0.558,21.0,229.35,783.87,12.0,5.0,7.0,0.4166666666666667,-4.75,12.0,0.4166666666666667
