blended_rank,team,conference,blended_score,source_disagreement,model_proj_margin_2026,sp_plus,fpi,steele_power_poll_rank,national_forecast_rank,record_2025_overall,head_coach,returning_starters_offense,returning_starters_defense,incoming_recruit_points,incoming_ret_percentPPA
41,Northwestern,Big Ten,0.395909918949327,0.19676699541972578,5.860770087051492,4.6,1.4,49,57,7-6,David Braun,4.0,5.0,204.95,0.885
42,Baylor,Big 12,0.3878800442711014,0.32136662874423993,1.9382403118585159,4.5,6.5,43,62,5-7,Dave Aranda,1.0,4.0,200.6,0.602
43,Minnesota,Big Ten,0.3863021346254816,0.35346278240630735,3.5723169190290824,5.2,0.6,35,42,8-5,P.J. Fleck,6.0,5.0,226.67,0.649
44,NC State,ACC,0.3712401894828762,0.06034578590715501,4.296186687045768,4.9,3.7,52,46,8-5,Dave Doeren,3.0,2.0,210.28,0.599
45,Virginia Tech,ACC,0.3444872887560777,0.7357630520560601,-2.4533077037371678,9.4,7.4,40,30,3-9,James Franklin,,,226.24,0.367
46,Duke,ACC,0.30638283896091767,0.19088046986879972,2.5511042086101163,5.7,3.5,53,54,9-5,Manny Diaz,,,189.26,0.171
47,Mississippi State,SEC,0.2878650229794334,0.20209291501211216,2.2931149844231835,3.9,4.1,51,44,5-8,Jeff Lebby,,,230.56,0.339
48,Wake Forest,ACC,0.26900655864726,0.05956280151151635,3.450444752131104,3.6,3.4,58,53,9-4,Jake Dickert,2.0,8.0,217.86,0.142
49,San Diego State,Pac-12,0.26427710729439163,0.5187269702279796,8.813680659862264,-1.3,1.4,71,67,9-4,Sean Lewis,7.0,3.0,184.15,0.987
50,Maryland,Big Ten,0.2396257371069307,0.3539671821948109,1.4249836323099512,3.8,1.0,42,58,4-8,Mike Locksley,6.0,8.0,215.87,0.54
51,Kansas,Big 12,0.22818745555762088,0.30373563804962944,1.1327632314364242,3.7,2.8,48,52,5-7,Lance Leipold,2.0,4.0,196.96,0.181
52,Arkansas,SEC,0.22085787333627355,0.33500593332026457,0.5469104615306896,5.0,4.4,55,51,2-10,Ryan Silverfield,,,212.68,0.145
53,Wisconsin,Big Ten,0.19104606722004142,0.8146880251396907,-3.3131484146942314,1.8,4.8,27,55,4-8,Luke Fickell,3.0,3.0,186.75,0.31
54,UCF,Big 12,0.18412120779480487,0.3615610001684848,0.6035791308856777,2.3,2.1,45,65,5-7,Scott Frost,,,194.3,0.248
55,Arizona State,Big 12,0.18192972084818596,0.33669993532243725,1.5140953089464058,6.4,4.8,73,35,8-5,Kenny Dillingham,,,217.26,0.155
56,James Madison,Sun Belt East,0.16627810406433643,0.4858566445840615,7.821091253079628,-2.1,-2.0,66,82,12-2,Billy Napier,1.0,2.0,185.6,0.08
57,Kentucky,SEC,0.15500864259435043,0.4527903683428581,-0.9370658095155704,3.8,5.4,56,49,5-7,Will Stein,1.0,3.0,197.21,0.193
58,Rutgers,Big Ten,0.1334809043396941,0.3406364930278227,0.9966927387949749,1.8,-0.2,46,69,5-7,Greg Schiano,,,220.7,0.444
59,North Carolina,ACC,0.1321200313907189,0.4051809650975245,-0.6068248489633196,3.8,4.9,60,56,4-8,Bill Belichick,2.0,3.0,247.7,0.278
60,Cincinnati,Big 12,0.13157866265628648,0.2944328757279323,2.0003174356095457,4.5,4.4,77,63,7-6,Scott Satterfield,3.0,1.0,199.89,0.083
61,UTSA,American,0.10525113354159729,0.46277865193505374,5.306918617466081,-1.5,-5.3,50,73,7-6,Jeff Traylor,,,185.81,0.669
62,UCLA,Big Ten,0.0884501806621169,0.8822361435477133,-4.611926663200056,5.1,0.5,30,43,3-9,Bob Chesney,3.0,3.0,196.57,0.57
63,Fresno State,Pac-12,0.07020673272844627,0.2942697618079543,3.8844651672661716,-2.3,-2.5,54,68,9-4,Matt Entz,6.0,6.0,189.36,0.383
64,UNLV,MWC,0.053618620084053104,0.22297217444535442,2.7567019320227297,2.8,1.8,80,59,10-4,Dan Mullen,,,196.45,0.154
65,South Florida,American,0.05025166882562687,0.4874289618087747,7.142434836794083,-2.8,-0.9,82,76,9-4,Brian Hartline,2.0,1.0,180.12,0.126
66,Cal,ACC,0.025894393616767694,0.22083120655266686,1.3419144296893035,3.7,0.9,75,47,7-6,Tosh Lupol,,,202.81,0.583
67,Texas State,Pac-12,0.003449221387549925,0.483099621711195,6.012709168309989,-5.9,-4.3,61,93,7-6,GJ Kinne,,,188.31,0.76
68,New Mexico,MWC,-0.009405090790823377,0.22365412044589197,3.7823635634628907,-0.5,-3.5,68,61,9-4,Jason Eck,7.0,5.0,182.61,0.582
69,East Carolina,American,-0.031851268180060247,0.35884501634477023,5.158673622819471,-2.0,-0.6,86,75,9-4,Blake Harrell,1.0,2.0,178.99,0.136
70,Navy,American,-0.05865633181890215,0.18069630098284895,0.3894115997819845,1.1,-0.7,69,60,11-2,Brian Newberry,4.0,5.0,99.4,0.138
71,Western Michigan,MAC,-0.09189257950519497,0.5162606471852814,6.425398096141551,-7.2,-4.0,76,87,10-4,,7.0,3.0,171.38,0.997
72,Michigan State,Big Ten,-0.0936646687725397,0.3626500098618293,-1.6577202977195018,0.4,0.3,63,72,4-8,Pat Fitzgerald,,,213.73,0.209
73,Tulane,American,-0.09394620449955182,0.2544403783459712,2.39333874368244,-5.5,2.3,78,79,11-3,Will Hall,2.0,4.0,195.14,0.21
74,Colorado,Big 12,-0.10611876723217517,0.6822027569113926,-4.69131191825112,0.9,4.5,62,64,3-9,Deion Sanders,4.0,0.0,193.36,0.137
75,Memphis,American,-0.1082604103773499,0.2720721337799037,3.6841191068347987,-1.1,-1.9,87,66,8-5,Charles Huff,1.0,0.0,189.2,0.056
76,West Virginia,Big 12,-0.11397276149723079,0.5279743122886991,-3.2484792562347007,0.8,0.2,57,50,4-8,Rich Rodriguez,3.0,0.0,229.51,0.14
77,Old Dominion,Sun Belt East,-0.11734065045730835,0.38882309421879935,5.025897926470053,-5.8,-4.4,74,94,10-3,Ricky Rahne,1.0,5.0,178.55,0.092
78,Iowa State,Big 12,-0.14352870795299866,0.4252499638400047,3.291456110479542,1.0,-0.9,100,70,8-4,Jimmy Rogers,,,203.31,0.017
79,Toledo,MAC,-0.18268981104000095,0.8746077162949865,9.0926963447686,-11.5,-3.0,98,99,8-5,Mike Jacobs,1.0,0.0,162.52,0.663
80,Oklahoma State,Big 12,-0.2307479945352592,1.1429819078552828,-9.796395129084512,7.1,3.3,64,36,1-11,Eric Morris,0.0,1.0,190.27,0.0
81,Hawai'i,MWC,-0.24811416054269483,0.3892946451321641,3.659275273615263,-3.9,-2.4,99,77,9-4,Timmy Chang,4.0,3.0,161.47,0.645
82,WKU,CUSA,-0.25854386006649555,0.5884092770050947,5.918156180798128,-5.3,-4.9,102,89,9-4,Tyson Helton,,,185.21,0.837
83,Washington State,Pac-12,-0.27013036576833505,0.389672308994995,4.08142287515223,-5.3,-4.1,95,88,7-6,Kirby Moore,,,159.25,0.913
84,Purdue,Big Ten,-0.2791207598620067,0.4752339474333629,-3.7802238657609686,-2.9,-0.9,65,85,2-10,Barry Odom,2.0,4.0,203.29,0.475
85,Syracuse,ACC,-0.30432769575781643,0.5954219558365925,-5.20078365292635,-0.7,-0.8,67,71,3-9,Fran Brown,,,224.78,0.35
86,Army,American,-0.3224966285172641,0.1365778904026003,-0.01888925672142472,-3.0,-5.6,79,74,7-6,Jeff Monken,8.0,3.0,39.85,0.802
87,Stanford,ACC,-0.3607204250880275,0.46328908885853876,-4.194282075663193,-1.9,-3.3,70,84,4-8,Tavita Pritchard,5.0,5.0,218.95,0.213
88,Marshall,Sun Belt East,-0.3705057980430896,0.37174554455605213,3.103939293189545,-6.4,-8.8,85,95,5-7,Tony Gibson,,,162.09,0.988
89,North Texas,American,-0.380667747374184,0.6525240512014258,5.974852396292773,-11.8,-6.4,97,109,12-2,Neal Brown,0.0,0.0,128.04,0.025
90,Air Force,MWC,-0.38909079981860245,0.18976368522171058,-0.5293143823647743,-2.4,-6.8,84,80,4-8,Troy Calhoun,3.0,5.0,116.49,0.574
91,Louisiana Tech,Sun Belt West,-0.40356340642822763,0.5104812085502209,4.40448146398983,-8.3,-9.6,90,104,8-5,Sonny Cumbie,,,177.0,0.639
92,Miami (Ohio),MAC,-0.41457746255537387,0.1797460455024637,-0.19297164542589496,-2.9,-7.0,88,86,7-7,Chuck Martin,,,175.9,0.139
93,Utah State,Pac-12,-0.41463087484769234,0.3020327585205556,2.5502624660287756,-7.7,-6.7,92,92,6-7,Bronco Mendenhall,4.0,5.0,177.56,0.652
94,Boston College,ACC,-0.4416707836210483,0.36915403263175545,-3.448401437549622,-1.5,-2.7,91,83,2-10,Bill O'Brien,1.0,3.0,204.06,0.156
95,Liberty,CUSA,-0.4859920548795577,0.14144278488925738,-0.7278057960712536,-6.4,-7.7,83,91,4-8,Jamey Chadwell,4.0,3.0,172.64,0.383
96,Jacksonville State,CUSA,-0.4918281384002422,0.29810901313231214,1.917752770353311,-7.7,-8.5,94,106,9-5,Charles Kelly,3.0,5.0,183.36,0.495
97,Louisiana,Sun Belt West,-0.5112496520209295,0.24418724314796322,1.1960179282845305,-9.1,-8.3,89,114,6-7,Michael Desormeaux,8.0,2.0,179.8,0.919
98,North Dakota State,MWC,-0.5287867616833796,0.39936569134814354,,-1.4,-8.3,101,78,12-1,Tim Polasek,3.0,5.0,,
99,Florida Atlantic,American,-0.5553746875668059,0.3874204896663701,-1.881332233757043,-7.1,-11.3,72,96,4-8,Zach Kittley,,,157.5,0.684
100,Troy,Sun Belt West,-0.5824569500427823,0.25521291464586426,0.10838549875658532,-6.0,-7.4,106,81,8-6,Gerad Parker,4.0,1.0,187.25,0.353
101,Tulsa,American,-0.5897336274920488,0.2296399845199877,-2.3650577324765107,-7.6,-9.0,81,108,4-8,Tre Lamb,,,179.39,0.413
102,Ohio,MAC,-0.62019458823221,0.5809509544061501,3.7314402757127927,-13.6,-8.0,110,111,9-4,John Hauser,1.0,5.0,175.4,0.625
103,Temple,American,-0.6590660328568619,0.20077061849204858,-0.1882624597818809,-8.7,-8.6,104,90,5-7,K.C. Keeler,,,192.17,0.37
104,Delaware,CUSA,-0.6770232071357521,0.3517037299632204,0.9255120025010021,-13.0,-6.6,108,107,7-6,Ryan Carty,7.0,5.0,167.01,0.849
105,Arkansas State,Sun Belt West,-0.7071109322670641,0.13520289877783262,-1.3183737230793802,-8.5,-9.2,103,100,7-6,Butch Jones,,,183.85,0.3
106,Kennesaw State,CUSA,-0.7705987008533572,0.19694422654064142,-1.3879734819931766,-9.3,-9.0,111,105,10-4,Jerry Mack,,,163.41,0.061
107,UConn,Independent,-0.8097169575077319,0.6169949340064761,2.4243265497282906,-11.2,-11.2,128,103,9-4,Jason Candle,,,172.49,0.023
108,Oregon State,Pac-12,-0.8246367565814781,0.31032345850608495,-4.200041801054243,-6.3,-8.1,114,101,2-10,JaMarcus Shephard «,,,176.78,0.579
109,Appalachian State,Sun Belt East,-0.8415196969778542,0.10625207648942818,-2.030199362652598,-12.1,-9.8,107,117,5-8,Dowell Loggains,2.0,2.0,198.58,0.379
110,Georgia Southern,Sun Belt East,-0.8627095790809536,0.21584502380060577,-3.433662198839431,-8.9,-8.7,115,102,7-6,Clay Helton,1.0,4.0,181.78,0.058
111,South Alabama,Sun Belt West,-0.8693655721556826,0.393588779277466,0.2731773583962689,-13.3,-10.5,120,115,4-8,Major Applewhite «,2.0,3.0,187.23,0.786
112,Colorado State,Pac-12,-0.8871300002018826,0.3063580752107431,-5.277005558628424,-8.3,-12.4,96,97,2-10,Jim L. Mora,1.0,4.0,188.82,0.396
113,Wyoming,MWC,-0.9019043767340238,0.19052529380463026,-3.2267645640792595,-9.6,-13.1,105,110,4-8,Jay Sawvel,,,169.68,0.23
114,Central Michigan,MAC,-0.908642111697461,0.42240795233906125,0.287179722577356,-12.4,-12.8,121,98,7-6,Matt Drinkall,4.0,3.0,178.86,0.54
115,FIU,CUSA,-0.9159884519347119,0.23640249840215125,-1.2801580995143946,-13.7,-12.6,109,112,7-6,Willie Simmons,,,176.58,0.316
116,Eastern Michigan,MAC,-0.9227883106355314,0.41777050128839194,-1.3046349231671448,-15.0,-16.3,93,124,4-8,Chris Creighton,,,175.41,0.721
117,Southern Miss,Sun Belt West,-0.9333928508505536,0.9214530521459003,3.100141037009943,-23.3,-5.1,137,123,7-6,Blake Anderson,,,175.33,0.902
118,Buffalo,MAC,-0.979006452432946,0.32808604645980033,-1.884611307519506,-11.9,-10.8,127,118,5-7,Pete Lembo,,,176.6,-0.008
119,Nevada,MWC,-1.0241187050078688,0.09635169127066305,-4.630781825603094,-12.2,-11.9,112,113,3-9,Jeff Choate,3.0,2.0,177.11,0.355
120,Bowling Green,MAC,-1.099602549049756,0.1414462292172203,-3.9102113631516673,-13.3,-13.7,119,122,4-8,Eddie George,1.0,2.0,188.03,-0.062
