date,fbs_team,opponent,home_away
2026-09-25,Rutgers,Howard,home
2026-09-26,Pittsburgh,Bucknell,home
2026-09-26,Eastern Michigan,Lindenwood,home
2026-09-26,Florida State,Central Arkansas,home
2026-09-26,Marshall,Gardner-Webb,home
2026-09-26,Buffalo,Robert Morris,home
2026-09-26,Ohio,Stonehill,home
2026-09-26,Duke,William & Mary,home
2026-09-26,East Carolina,North Carolina Central,home
2026-09-26,Texas State,Incarnate Word,home
2026-09-26,Florida International,Long Island University,home
2026-09-26,Western Kentucky,Mercyhurst,home
2026-09-26,North Texas,Houston Christian,home
