game_id,date,away,home,neutral,model_pick,model_margin,home_win_prob,home_blended_rank,away_blended_rank,in_season_weight,home_in_season_margin,away_in_season_margin,market_home_margin,market_note,model_vs_market_gap,model_total,market_total,total_gap,disagreement_team,disagreement_value
401858229,2026-09-19,North Carolina,Clemson,False,Clemson,8.4,0.677,24,59,0.15,-10.97,14.09,3.0,"2 book(s), median -3.0",5.4,50.2,44.5,5.7,,
401862774,2026-09-19,Temple,Toledo,False,Toledo,8.0,0.667,79,103,0.15,-8.48,-7.76,6.0,"2 book(s), median -6.0",2.0,52.5,48.5,4.0,Toledo,0.87
401862771,2026-09-19,Florida International,Florida Atlantic,False,Florida Atlantic,7.6,0.661,99,115,0.0,-13.09,,6.5,"2 book(s), median -6.5",1.1,55.3,62.5,-7.2,,
401864443,2026-09-19,Nevada,Middle Tennessee,False,Nevada,6.7,0.357,132,119,0.15,-3.77,28.75,-3.5,"2 book(s), median +3.5",-3.2,51.9,50.5,1.4,,
401871047,2026-09-19,Marshall,Missouri State,False,Marshall,6.4,0.363,122,88,0.15,-26.97,-24.32,-4.0,"2 book(s), median +4.0",-2.4,54.7,53.5,1.2,,
401869948,2026-09-19,Georgia Southern,Jacksonville State,False,Jacksonville State,4.3,0.592,96,110,0.15,-18.46,0.26,3.0,"2 book(s), median -3.0",1.3,54.1,52.5,1.6,,
401864508,2026-09-19,Wyoming,Central Michigan,False,Central Michigan,3.2,0.568,114,113,0.15,-25.1,-27.36,-1.5,"2 book(s), median +1.5",4.7,49.4,39.0,10.4,,
401860889,2026-09-19,North Texas,Texas State,False,Texas State,2.7,0.558,67,89,0.15,-16.47,13.36,3.0,"2 book(s), median -3.0",-0.3,57.3,62.5,-5.2,North Texas,0.65
401862710,2026-09-19,East Carolina,Old Dominion,False,Old Dominion,2.2,0.548,77,69,0.15,-15.96,-16.96,2.5,"2 book(s), median -2.5",-0.3,50.9,49.0,1.9,,
401856812,2026-09-19,Arizona State,Kansas,True,Kansas,2.1,0.545,51,55,0.15,-7.14,-4.97,-5.5,"2 book(s), median +5.5",7.6,52.6,50.5,2.1,,
401856687,2026-09-19,Florida,Auburn,False,Florida,1.9,0.46,30,26,0.15,11.89,35.09,-2.5,"2 book(s), median +2.5",0.6,50.2,53.5,-3.3,,
401861963,2026-09-19,UConn,Southern Miss,False,Southern Miss,1.6,0.534,117,107,0.15,-21.93,-23.89,-3.0,"2 book(s), median +3.0",4.6,53.3,54.5,-1.2,Southern Miss,0.92
401866423,2026-09-19,Ohio,South Alabama,False,South Alabama,1.6,0.535,111,102,0.15,-2.56,-12.25,6.5,"2 book(s), median -6.5",-4.9,51.3,48.5,2.8,Ohio,0.58
401858232,2026-09-19,Virginia Tech,Maryland,False,Maryland,1.6,0.535,50,45,0.15,16.51,18.6,-3.0,"2 book(s), median +3.0",4.6,52.0,53.5,-1.5,Virginia Tech,0.74
401856688,2026-09-19,LSU,Ole Miss,False,Ole Miss,0.9,0.519,13,17,0.15,8.69,36.74,-3.0,"2 book(s), median +3.0",3.9,51.7,58.5,-6.8,LSU,0.62
401858230,2026-09-19,SMU,Louisville,False,Louisville,0.3,0.507,31,22,0.15,16.63,16.96,1.5,"2 book(s), median -1.5",-1.2,52.3,58.5,-6.2,,
401856793,2026-09-20,Northern Illinois,Arizona,False,Arizona,31.0,0.954,29,126,0.15,10.88,-23.47,33.5,"2 book(s), median -33.5",-2.5,51.3,50.5,0.8,,
401856693,2026-09-20,UTSA,Texas,False,Texas,25.3,0.916,7,61,0.15,38.01,8.0,30.0,"2 book(s), median -30.0",-4.7,54.2,58.5,-4.3,,
401856799,2026-09-20,Arkansas State,TCU,False,TCU,18.5,0.843,37,105,0.15,-5.37,-16.58,18.5,"2 book(s), median -18.5",0.0,53.5,56.5,-3.0,,
401860888,2026-09-20,Fresno State,San José State,False,Fresno State,15.6,0.198,128,63,0.0,,3.43,-6.5,"2 book(s), median +6.5",-9.1,50.9,49.5,1.4,,
401862776,2026-09-20,UAB,Louisiana,False,Louisiana,13.8,0.773,97,127,0.15,2.36,-13.08,7.5,"2 book(s), median -7.5",6.3,55.1,55.5,-0.4,,
401864507,2026-09-20,North Dakota State,Sacramento State,False,North Dakota State,13.6,0.229,130,98,0.15,-30.98,11.91,-27.5,"2 book(s), median +27.5",13.9,52.3,50.5,1.8,,
401858458,2026-09-20,Purdue,UCLA,False,UCLA,10.4,0.714,62,84,0.15,21.25,-1.6,14.0,"2 book(s), median -14.0",-3.6,52.5,52.5,0.0,UCLA,0.88
401860887,2026-09-20,James Madison,San Diego State,False,San Diego State,2.1,0.545,49,56,0.15,-14.07,-2.14,1.5,"2 book(s), median -1.5",0.6,51.7,46.5,5.2,,
